,clean,stochastic_no_ws,stochastic_incl_ws,word_score_no_ws,word_score_incl_ws
baseline,0.88,0.722,0.69,0.606,0.604
roben_1,0.794,0.686,0.572,0.656,0.554
roben_2,0.818,0.71,0.584,0.718,0.596
roben_1_tok,0.794,0.686,0.572,0.656,0.554
roben_2_tok,0.786,0.684,0.59,0.728,0.604
64k_lstm_clean_vanilla,0.864,0.708,0.662,0.596,0.556
64k_lstm_no_whitespace_pert_vanilla,0.872,0.812,0.712,0.73,0.666
64k_lstm_all_pert_vanilla,0.868,0.81,0.802,0.702,0.686
64k_lstm_clean_finetuned,0.864,0.724,0.694,0.584,0.566
64k_lstm_no_whitespace_pert_finetuned,0.864,0.816,0.722,0.744,0.678
64k_lstm_all_pert_finetuned,0.864,0.804,0.796,0.694,0.694
64k_cnn_no_whitespace_pert_finetuned,0.522,0.508,0.492,0.506,0.498
baseline_all_pert,0.884,0.698,0.672,0.546,0.546
