,clean,stochastic_no_ws,stochastic_incl_ws,word_score_no_ws,word_score_incl_ws
baseline_bert_imdb,0.8799058461834077,0.7219455013182583,0.6899888395982254,0.6059984239936961,0.5857199466839584
baseline_all_pert_bert_imdb,0.883953581432573,0.6961513850265011,0.6698872785829307,0.5313131313131313,0.5512699262311906
roben_1_bert_imdb,0.7920023909628069,0.683200761932435,0.5689585716817867,0.654219948849105,0.4827984861207453
roben_2_bert_imdb,0.817103808662446,0.7088809383269288,0.5822890559732665,0.699343398267088,0.5456446217189912
roben_1_tok_bert_imdb,0.771256780602575,0.6820630212628047,0.5463330281761775,0.6826103444296054,0.5138641034792562
roben_2_tok_bert_imdb,0.7840922390240161,0.6808080808080808,0.5872244975213334,0.7169384057971016,0.534227240649259
64k_lstm_clean_vanilla_bert_imdb,0.863921618852459,0.7079813108038915,0.6617713574376278,0.564,0.5356359385758434
64k_lstm_no_whitespace_pert_vanilla_bert_imdb,0.8719262295081968,0.8118916495901639,0.711958522027172,0.7433058991513051,0.601156046193746
64k_lstm_all_pert_vanilla_bert_imdb,0.8677884615384615,0.8095971074794265,0.803468579037718,0.7043811914041289,0.6881024150934285
64k_lstm_clean_finetuned_bert_imdb,0.8639455782312926,0.7239602502760397,0.6959805427547363,0.5756673231813743,0.5559715821812596
64k_lstm_no_whitespace_pert_finetuned_bert_imdb,0.8639651750848216,0.8159882232462878,0.721998887995552,0.727786584682391,0.5777956530960984
64k_lstm_all_pert_finetuned_bert_imdb,0.8638932923411955,0.8019358272080154,0.7959967359477752,0.6979891276085939,0.6857171454308877
64k_cnn_no_whitespace_pert_finetuned_bert_imdb,0.36533333333333334,0.34746625923096514,0.33659290833490046,0.34400000000000003,0.3288590604026846
2m_lstm_all_pert_finetuned_bert_imdb,0.8639804131794978,0.7979021846573742,0.78997899789979,0.6734239197945175,0.6918224897540983
baseline_roberta_imdb,0.9076676033721396,0.796199216275006,0.786028034364705,0.6802706771786113,0.6924122970325881
roben_1_roberta_imdb,0.751949423123402,0.6106248247811712,0.5673416137492179,0.6043948139756523,0.5084742677176822
roben_2_roberta_imdb,0.7954890732733434,0.6879183508314286,0.6241965581588225,0.6719088819263077,0.5568633011911515
roben_1_tok_roberta_imdb,0.6479500891265597,0.5916811846689896,0.5097565354287213,0.5710202377511367,0.48389760528488857
roben_2_tok_roberta_imdb,0.7418666666666667,0.676254459649138,0.5906143411955813,0.6925821368572369,0.5594396792001582
64k_lstm_all_pert_vanilla_roberta_imdb,0.8715375351264552,0.8131862392582088,0.8152432362958679,0.7526454866850876,0.7685921144241565
64k_lstm_all_pert_finetuned_roberta_imdb,0.877466242954309,0.8149310416968409,0.8190620174987134,0.7592954436043384,0.7573757763975155
baseline_bert_sst,0.511900820731135,0.16365328409390661,0.13979586565839988,0.04439385802167757,0.039666758668463406
roben_1_bert_sst,0.35952617205900717,0.15568382632432942,0.08392052322919107,0.09309207225224324,0.03754545454545454
roben_2_bert_sst,0.3323002420674619,0.19444145738813137,0.11180913770366088,0.1290136901729545,0.034255476127054575
roben_1_tok_bert_sst,0.2530337570493361,0.2404822573135248,0.08998489380343816,0.21961888776968755,0.04560427560427561
roben_2_tok_bert_sst,0.33797078963041194,0.31995427821637873,0.12886122019621582,0.2752059493803559,0.03645720512803426
64k_lstm_clean_vanilla_bert_sst,0.4146939478300384,0.13769195111672988,0.12573743718222977,0.04797904319815201,0.01829628503712711
64k_lstm_no_whitespace_pert_vanilla_bert_sst,0.4745671175148788,0.3016387317177325,0.17155323779206305,0.08871585802932289,0.038175432883116055
64k_lstm_all_pert_vanilla_bert_sst,0.4338950983692709,0.2773170116587658,0.2620578473143582,0.0694179971863946,0.08182305403766325
64k_lstm_all_pert_finetuned_bert_sst,0.4002151479601427,0.23359271299814172,0.24808246822915656,0.06496369842533559,0.061105711780683344
baseline_roberta_sst,0.43884527175268373,0.21259417283984278,0.1869196678382278,0.0553581275355469,0.05083208322207374
roben_1_roberta_sst,0.3055310433575694,0.2315269697622639,0.139664993219964,0.14616742688961978,0.030539992175213526
roben_2_roberta_sst,0.3194129517601875,0.22137182241596493,0.14487065258953807,0.15425740656763112,0.03572017551577712
roben_1_tok_roberta_sst,0.27520795212374216,0.26692184993025736,0.12434480495999653,0.25469923433372715,0.046341976471161075
roben_2_tok_roberta_sst,0.2874665159743202,0.27131711636369793,0.16016609899219708,0.2534133068520358,0.055643924979614026
64k_lstm_all_pert_vanilla_roberta_sst,0.39950668935357886,0.3033279720097057,0.29144339518644596,0.12028039850505186,0.11534781920347888
64k_lstm_all_pert_finetuned_roberta_sst,0.4047946492594516,0.3100030333474472,0.27789687286482884,0.13583745772611716,0.12754332192786438
baseline_bert_sst_bin,0.9138756364189891,0.7057211042311662,0.6972094825915638,0.41769325934612395,0.3807773874471839
roben_1_bert_sst_bin,0.7719416170539657,0.6538324549081757,0.5251623864496973,0.5292811277941389,0.28541437891609067
roben_2_bert_sst_bin,0.7999487868894437,0.7038815526210483,0.580952380952381,0.5844024429908568,0.3146417445482866
roben_1_tok_bert_sst_bin,0.6939889836034097,0.667978750640041,0.49711290716824474,0.64593060239807,0.27042508290624057
roben_2_tok_bert_sst_bin,0.7577820038034231,0.747672984187507,0.5697091233673964,0.7258673197827747,0.33723384232172393
64k_lstm_clean_vanilla_bert_sst_bin,0.887854659638892,0.721186981237288,0.6771929824561403,0.4075355078381451,0.32291666666666663
64k_lstm_no_whitespace_pert_vanilla_bert_sst_bin,0.8559170081967213,0.805993015748567,0.697998791995168,0.5939204084000465,0.40800000000000003
64k_lstm_all_pert_vanilla_bert_sst_bin,0.8619729466975528,0.7899991599966399,0.7679405927917546,0.5699982799931199,0.5674394014642977
64k_lstm_all_pert_finetuned_bert_sst_bin,0.8679809892624538,0.7939332343679353,0.7599039615846339,0.5732472080750444,0.5677510245901638
baseline_roberta_sst_bin,0.9318429661941112,0.7607810700789828,0.7810538607502554,0.46502691518282757,0.451781504014773
roben_1_roberta_sst_bin,0.8011363636363636,0.6695636993902514,0.6131383217690809,0.5719471269091159,0.3355040202006778
roben_2_roberta_sst_bin,0.8408227248731619,0.7404678118779914,0.671155395517848,0.6309409130146497,0.37549866118609304
roben_1_tok_roberta_sst_bin,0.7432621724538797,0.7178457419421275,0.5695429596126307,0.6885175094690678,0.35510541546093427
roben_2_tok_roberta_sst_bin,0.7782524666870103,0.7622250854567107,0.6408757677828412,0.7426638781778969,0.38999092175041794
64k_lstm_all_pert_vanilla_roberta_sst_bin,0.8874797061612898,0.8085842894044352,0.8128614490560571,0.6155153712907351,0.6162888431413154
64k_lstm_all_pert_finetuned_roberta_sst_bin,0.8998397435897436,0.8118524923540056,0.8276663620769811,0.6030855090127654,0.620724115925975
baseline_bert_yelp_bin,0.9519807923169268,0.8799308401639345,0.8739873987398741,0.7118340163934426,0.7036965853033506
roben_1_bert_yelp_bin,0.8836350796096559,0.817103808662446,0.7673709711058703,0.7788535769428718,0.6587223696380033
roben_2_bert_yelp_bin,0.9198961854563514,0.8778235772455425,0.8374531925397036,0.8375939849624061,0.704865502993507
roben_1_tok_bert_yelp_bin,0.8655477024711129,0.8029786412763767,0.7487689679429204,0.80441576771852,0.6431988841856013
roben_2_tok_bert_yelp_bin,0.9037783052152158,0.8715973292244479,0.811020329387545,0.8635086310718586,0.7084032160108755
64k_lstm_clean_vanilla_bert_yelp_bin,0.9499949994999499,0.8979995919983679,0.8799980799692795,0.7516781749146895,0.7159590981101278
64k_lstm_no_whitespace_pert_vanilla_bert_yelp_bin,0.957998487945566,0.9319989119825917,0.903975417706933,0.8919930875576036,0.781992151717462
64k_lstm_all_pert_vanilla_bert_yelp_bin,0.9519930870045286,0.9319956477214542,0.9359959037378391,0.8859228838694957,0.8979506080943176
64k_lstm_all_pert_finetuned_bert_yelp_bin,0.9539983439403819,0.9399961597542243,0.937993799379938,0.8838810942405022,0.8899467342193621
baseline_roberta_yelp_bin,0.964,0.8959983359733755,0.8999855979261013,0.7596153846153846,0.7796474358974359
roben_1_roberta_yelp_bin,0.8938467146559632,0.8376564811140372,0.801235950995627,0.7892911755144305,0.6953077391834247
roben_2_roberta_yelp_bin,0.9219097276451578,0.875801282051282,0.8436973981628433,0.8434363709353673,0.7489062355621086
roben_1_tok_roberta_yelp_bin,0.8796746402271742,0.8334396911209307,0.7787218976810055,0.8053451811895216,0.683200761932435
roben_2_tok_roberta_yelp_bin,0.9139225302772496,0.8878205128205129,0.8435092449922958,0.8717948717948718,0.7505592301131335
64k_lstm_all_pert_vanilla_roberta_yelp_bin,0.96,0.9439964157706093,0.931990206589749,0.8798076923076923,0.8817497825398544
64k_lstm_all_pert_finetuned_roberta_yelp_bin,0.965999863999456,0.9479991679866877,0.9359907826727047,0.8737328186442512,0.8817497825398544
baseline_bert_yelp_full,0.6081653682536143,0.41363394948420923,0.39068372528178585,0.2764934703963644,0.2550062276192865
roben_1_bert_yelp_full,0.4784853113560027,0.3619190538203833,0.29447760987547883,0.3289138675934487,0.20895417221026893
roben_2_bert_yelp_full,0.5248051560658349,0.38941249303425274,0.30811681620140546,0.3733764291193852,0.23888036296156345
roben_1_tok_bert_yelp_full,0.4136128963052769,0.34286269253838403,0.26118548559282584,0.33393721329891546,0.19775235308379283
roben_2_tok_bert_yelp_full,0.5011162772459572,0.40468613536282716,0.29305360517328066,0.3960130575892066,0.23349687578131945
64k_lstm_clean_vanilla_bert_yelp_full,0.5970163620679811,0.4003311303089577,0.36484823285797274,0.30201471817402065,0.24991867087177577
